rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
1,CH,1,,yes,no,Carlos Alcaraz,22,ESP,ESP,13150,,,Doha QF (R16 )13250 13550,,,yes
2,1,1,,no,no,Jannik Sinner,24,ITA,ITA,10400,,+100,Doha QF (R16 )10500 10800,,,yes
3,1,1,,no,no,Novak Djoković,38,SRB,SRB,5280,,,,,,no
4,2,2,,no,no,Alexander Zverev,28,GER,GER,4555,,-50,,,,no
5,CH,5,,yes,no,Lorenzo Musetti,23,ITA,ITA,4405,,,,,,no
6,CH,6,,yes,no,Alex de Minaur,27,AUS,AUS,4235,,-15,,,,no
7,4,4,,no,no,Taylor Fritz,28,USA,USA,4220,,+1,Delray Beach R16 4220 4420,,,yes
8,5,5,,no,no,Félix Auger-Aliassime,25,CAN,CAN,4080,-1,-150,,,,no
9,5,5,,no,no,Ben Shelton,23,USA,USA,4050,,,,,,no
10,CH,10,,yes,no,Alexander Bublik,28,KAZ,KAZ,3405,,,Advertisement,,,yes
11,1,1,,no,no,Daniil Medvedev,30,RUS,RUS,2960,,-50,,Lost in Doha R16,,no
12,2,2,,no,no,Casper Ruud,27,NOR,NOR,2665,+1,+40,Delray Beach QF 2715 2865,,,yes
13,NCH (16),13,16,yes,yes,Jakub Menšík,20,CZE,CZE,2495,+3,+70,Doha QF (R32 )2595 2895,,,yes
14,CH,14,,yes,no,Alejandro Davidovich Fokina,26,ESP,ESP,2470,,+1,,,,no
15,4,4,,no,no,Jack Draper,24,GBR,GBR,2460,-3,-330,,,,no
16,8,8,,no,no,Karen Khachanov,29,RUS,RUS,2450,+1,+90,Doha QF (R32 )2550 2850,,,yes
17,4,4,,no,no,Holger Rune,22,DEN,DEN,2340,,+1,,,,no
18,CH,18,,yes,no,Francisco Cerúndolo,27,ARG,ARG,2170,+1,-50,,Lost in Rio de Janeiro R16 (R32 ),,no
19,5,5,,no,no,Andrey Rublev,28,RUS,RUS,2110,-5,-400,Doha QF (R32 )2210 2510,,,yes
20,17,17,,no,no,Flavio Cobolli,23,ITA,ITA,1980,,+25,Delray Beach QF 2030 2180,,,yes
21,CH,21,,yes,no,Luciano Darderi,24,ITA,ITA,1904,,,,Lost in Rio de Janeiro R32,,no
22,16,16,,no,no,Jiří Lehečka,24,CZE,CZE,1760,,-100,Doha QF (R16 )1860 2160,,,yes
23,CH,23,,yes,no,Learner Tien,20,USA,USA,1710,,,Delray Beach R16 1735 1935,,,yes
24,8,8,,no,no,Tommy Paul,28,USA,USA,1700,,,Delray Beach R16 (R32 )1700 1900,,,yes
25,21,21,,no,no,Tallon Griekspoor,29,NED,NED,1655,,,,,,no
26,8,8,,no,no,Cameron Norrie,30,GBR,GBR,1603,,+1,,,,no
27,25,25,,no,no,Valentin Vacherot,27,MON,MON,1591,-1,-14,,Lost in Delray Beach R32,,no
28,10,10,,no,no,Frances Tiafoe,28,USA,USA,1565,,+15,Delray Beach R16 (R32 )1590 1790,,,yes
29,CH,29,,yes,no,Brandon Nakashima,24,USA,USA,1535,,,,Lost in Delray Beach R16 (R32 ),,no
30,3,3,,no,no,Stefanos Tsitsipas,27,GRE,GRE,1535,+3,+50,Doha QF (R16 )1635 1935,,,yes
31,26,26,,no,no,Arthur Rinderknech,30,FRA,FRA,1530,,-1,,Lost in Doha R32,,no
32,20,20,,no,no,Tomáš Macháč,25,CZE,CZE,1510,,-1,,Lost in Doha R32,,no
33,31,31,,no,no,Corentin Moutet,26,FRA,FRA,1383,,+1,,Lost in Delray Beach R32,,no
34,10,10,,no,no,Denis Shapovalov,26,CAN,CAN,1350,,+1,,,,no
35,13,13,,no,no,Ugo Humbert,27,FRA,FRA,1285,,+1,,Lost in Doha R32,,no
36,24,24,,no,no,João Fonseca,19,BRA,BRA,1240,+2,+50,Rio de Janeiro R16 (R32 )1290 1690,,,yes
37,33,33,,no,no,Jaume Munar,28,ESP,ESP,1235,,-40,,,,no
38,14,14,,no,no,Arthur Fils,21,FRA,FRA,1210,+2,+100,Doha QF (R32 )1310 1610,,,yes
39,33,33,,no,no,Gabriel Diallo,24,CAN,CAN,1175,,,,Lost in Delray Beach R32,,no
40,30,30,,no,no,Alex Michelsen,21,USA,USA,1110,,+1,,Lost in Delray Beach R16 (R32 ),,no
41,3,3,,no,no,Grigor Dimitrov,34,BUL,BUL,1105,,+1,,,,no
42,3,3,,no,no,Marin Čilić,37,CRO,CRO,1090,,+1,,Lost in Delray Beach R32,,no
43,39,39,,no,no,Zizou Bergs,26,BEL,BEL,1080,,+1,,Lost in Doha R16,,no
44,19,19,,no,no,Alexei Popyrin,26,AUS,AUS,1050,+9,+50,,Lost in Doha R16,,no
45,30,30,,no,no,Nuno Borges,29,POR,POR,1045,,-25,,Lost in Delray Beach R32,,no
46,33,33,,no,no,Jenson Brooksby,25,USA,USA,1042,,+1,,Lost in Doha R32,,no
47,36,36,,no,no,Fábián Marozsán,26,HUN,HUN,1040,,+1,,Lost in Doha R16,,no
