rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
1,CH,1,,yes,no,Carlos Alcaraz,22,ESP,ESP,13160,,-390,Indian Wells R64 13200 14150,,,yes
2,1,1,,no,no,Jannik Sinner,24,ITA,ITA,10450,,+50,Indian Wells R32 (R64 )10500 11400,,,yes
3,1,1,,no,no,Novak Djoković,38,SRB,SRB,5280,,,Indian Wells R64 5320 6270,,,yes
4,2,2,,no,no,Alexander Zverev,28,GER,GER,4555,,,Indian Wells R32 (R64 )4605 5505,,,yes
5,CH,5,,yes,no,Lorenzo Musetti,24,ITA,ITA,4365,,-40,,Lost in Indian Wells R64,,no
6,CH,6,,yes,no,Alex de Minaur,27,AUS,AUS,4145,,-90,Indian Wells R64 4185 5135,,,yes
7,4,4,,no,no,Taylor Fritz,28,USA,USA,4130,,-90,Indian Wells R64 4170 5120,,,yes
8,5,5,,no,no,Félix Auger-Aliassime,25,CAN,CAN,3950,,+1,Indian Wells R32 4000 4900,,,yes
9,5,5,,no,no,Ben Shelton,23,USA,USA,3860,-1,-150,Indian Wells R32 (R64 )3910 4810,,,yes
10,CH,10,,yes,no,Alexander Bublik,28,KAZ,KAZ,3325,,-80,Indian Wells R64 3365 4315 Advertisement,,,yes
11,1,1,,no,no,Daniil Medvedev,30,RUS,RUS,2970,,-390,Indian Wells R64 3010 3960,,,yes
12,CH,12,,yes,no,Jakub Menšík,20,CZE,CZE,2650,,,Indian Wells R32 2700 3600,,,yes
13,2,2,,no,no,Casper Ruud,27,NOR,NOR,2625,,,Indian Wells R64 2665 3615,,,yes
14,NCH (15),14,15,yes,yes,Flavio Cobolli,23,ITA,ITA,2520,+1,+40,Indian Wells R32 (R64 )2570 3470,,,yes
15,8,8,,no,no,Karen Khachanov,29,RUS,RUS,2410,+1,-40,Indian Wells R64 2450 3400,,,yes
16,5,5,,no,no,Andrey Rublev,28,RUS,RUS,2400,,+1,Indian Wells R64 2440 3390,,,yes
17,14,14,,no,no,Alejandro Davidovich Fokina,26,ESP,ESP,2190,,+2,Indian Wells R32 2240 3140,,,yes
18,NCH (21),18,21,yes,yes,Luciano Darderi,24,ITA,ITA,2050,+3,-54,Indian Wells R64 2090 3040,,,yes
19,18,18,,no,no,Francisco Cerúndolo,27,ARG,ARG,1980,+1,-190,Indian Wells R64 2020 2970,,,yes
20,10,10,,no,no,Frances Tiafoe,28,USA,USA,1870,,+2,Indian Wells R32 1920 2820,,,yes
21,16,16,,no,no,Jiří Lehečka,24,CZE,CZE,1850,,+2,Indian Wells R64 1890 2840,,,yes
22,8,8,,no,no,Tommy Paul,28,USA,USA,1765,+2,-50,Indian Wells R32 1815 2715,,,yes
23,CH,23,,yes,no,Learner Tien,20,USA,USA,1710,+4,+25,Indian Wells R32 1760 2660,,,yes
24,NCH (25),24,25,yes,yes,Valentin Vacherot,27,MON,MON,1701,+2,+10,Indian Wells R64 1741 2691,,,yes
25,4,4,,no,no,Holger Rune,22,DEN,DEN,1640,-7,-650,,,,no
26,CH,26,,yes,no,Arthur Rinderknech,30,FRA,FRA,1617,,+2,Indian Wells R64 1657 2607,,,yes
27,21,21,,no,no,Tallon Griekspoor,29,NED,NED,1585,-2,-200,,,,no
28,8,8,,no,no,Cameron Norrie,30,GBR,GBR,1563,+1,-40,Indian Wells R64 1603 2553,,,yes
29,4,4,,no,no,Jack Draper,24,GBR,GBR,1520,-15,-990,Indian Wells R64 1560 2510,,,yes
30,29,29,,no,no,Brandon Nakashima,24,USA,USA,1485,,-50,Indian Wells R32 1535 2435,,,yes
31,27,27,,no,no,Tomás Martín Etcheverry,26,ARG,ARG,1430,,-15,,Lost in Indian Wells R64,,no
32,31,31,,no,no,Corentin Moutet,26,FRA,FRA,1363,+1,-20,Indian Wells R64 1403 2353,,,yes
33,14,14,,no,no,Arthur Fils,21,FRA,FRA,1290,-1,-150,Indian Wells R32 1340 2240,,,yes
34,13,13,,no,no,Ugo Humbert,27,FRA,FRA,1245,,-40,Indian Wells R64 1285 2235,,,yes
35,33,33,,no,no,Jaume Munar,28,ESP,ESP,1225,+1,-10,,,,no
36,15,15,,no,no,Sebastian Korda,25,USA,USA,1200,+1,-20,Indian Wells R64 (R128 )1220 2170,,,yes
37,33,33,,no,no,Gabriel Diallo,24,CAN,CAN,1165,+1,-10,Indian Wells R64 1185 2135,,,yes
38,10,10,,no,no,Denis Shapovalov,26,CAN,CAN,1160,,+1,Indian Wells R32 (R128 )1210 2110,,,yes
39,19,19,,no,no,Alejandro Tabilo,28,CHI,CHI,1118,+1,-20,Indian Wells R64 (R128 )1138 2088,,,yes
40,33,33,,no,no,Jenson Brooksby,25,USA,USA,1115,+1,-20,,Lost in Indian Wells R64,,no
41,24,24,,no,no,João Fonseca,19,BRA,BRA,1065,-6,-175,Indian Wells R64 (R128 )1085 2035,,,yes
42,30,30,,no,no,Alex Michelsen,21,USA,USA,1065,+2,-20,Indian Wells R64 1085 2035,,,yes
43,3,3,,no,no,Grigor Dimitrov,34,BUL,BUL,1035,-1,-70,Indian Wells R64 (R128 )1055 2005,,,yes
44,17,17,,no,no,Adrian Mannarino,37,FRA,FRA,1035,+4,+10,,Lost in Indian Wells R128,,no
45,39,39,,no,no,Zizou Bergs,26,BEL,BEL,1030,,+2,,Lost in Indian Wells R64,,no
46,36,36,,no,no,Fábián Marozsán,26,HUN,HUN,1020,,-20,,Lost in Indian Wells R128,,no
47,19,19,,no,no,Alexei Popyrin,26,AUS,AUS,1010,-2,-40,,Lost in Indian Wells R128,,no
48,20,20,,no,no,Tomáš Macháč,25,CZE,CZE,1000,+2,-10,,,,no
49,3,3,,no,no,Marin Čilić,37,CRO,CRO,1000,+2,+10,,Lost in Indian Wells R128,,no
50,30,30,,no,no,Nuno Borges,29,POR,POR,995,-1,-25,Indian Wells R64 1015 1965 Advertisement,,,yes
51,3,3,,no,no,Stefanos Tsitsipas,27,GRE,GRE,995,-8,-90,,Lost in Indian Wells R128,,no
52,CH,52,,yes,no,Térence Atmane,24,FRA,FRA,968,,+10,,Lost in Indian Wells R128,,no
53,18,18,,no,no,Sebastián Báez,25,ARG,ARG,960,,+20,Indian Wells R64 980 1930,,,yes
54,31,31,,no,no,Márton Fucsovics,34,HUN,HUN,959,+2,+43,Indian Wells R32 1009 1909,,,yes
55,44,44,,no,no,Daniel Altmaier,27,GER,GER,906,,-15,,Lost in Indian Wells R128,,no
56,55,55,,no,no,Kamil Majchrzak,30,POL,POL,905,+1,+10,Indian Wells R64 (R128 )925 1875,,,yes
57,29,29,,no,no,Giovanni Mpetshi Perricard,22,FRA,FRA,890,-3,-40,,Lost in Indian Wells R128,,no
58,27,27,,no,no,Miomir Kecmanović,26,SRB,SRB,880,,+5,,Lost in Indian Wells R64,,no
59,NCH (62),59,62,yes,yes,Vít Kopřiva,28,CZE,CZE,876,+3,+28,Indian Wells R64,Lost in Qual. Indian Wells R2 Lost in Qual. Indian Wells R2 Indian Wells R64 896 1846,,yes
60,21,21,,no,no,Lorenzo Sonego,30,ITA,ITA,850,,+1,,,,no
61,NCH (63),61,63,yes,yes,Ignacio Buse,21,PER,PER,836,+2,-12,,Lost in Qual. Indian Wells R2,,no
62,45,45,,no,no,Yannick Hanfmann,34,GER,GER,835,,+3,,,,no
63,22,22,,no,no,Botic van de Zandschulp,30,NED,NED,823,-4,-50,,Lost in Indian Wells R128,,no
64,17,17,,no,no,Reilly Opelka,28,USA,USA,803,+4,+17,,Lost in Indian Wells R64,,no
65,6,6,,no,no,Matteo Berrettini,29,ITA,ITA,800,+1,-20,,Lost in Indian Wells R64,,no
66,43,43,,no,no,Camilo Ugo Carabelli,26,ARG,ARG,795,+1,+5,,Lost in Indian Wells R64,,no
67,NCH (70),67,70,yes,yes,Juan Manuel Cerúndolo,24,ARG,ARG,786,+3,+8,Indian Wells R64 806 1756,,,yes
68,54,54,,no,no,Valentin Royer,24,FRA,FRA,782,-8,-90,,Lost in Indian Wells R128,,no
69,59,59,,no,no,Raphaël Collignon,24,BEL,BEL,743,+8,+10,,Lost in Indian Wells R128,,no
70,64,64,,no,no,Ethan Quinn,21,USA,USA,741,+3,-20,,Lost in Indian Wells R128,,no
71,NCH (75),71,75,yes,yes,Emilio Nava,24,USA,USA,741,+4,-12,,Lost in Indian Wells R128,,no
72,58,58,,no,no,Arthur Cazaux,23,FRA,FRA,741,,+4,,,,no
73,6,6,,no,no,Hubert Hurkacz,29,POL,POL,735,-2,-40,,Lost in Indian Wells R128,,no
74,67,67,,no,no,Eliot Spizzirri,24,USA,USA,726,+4,-5,,,,no
75,23,23,,no,no,Damir Džumhur,33,BIH,BIH,723,-11,-117,,Lost in Indian Wells R128,,no
76,21,21,,no,no,Jan Lennard Struff,35,GER,GER,719,,+4,,Lost in Indian Wells R128,,no
77,37,37,,no,no,Marcos Giron,32,USA,USA,710,-8,-70,,Lost in Indian Wells R64,,no
78,29,29,,no,no,Mariano Navone,25,ARG,ARG,705,+1,-20,,Lost in Indian Wells R128,,no
79,46,46,,no,no,James Duckworth,34,AUS,AUS,691,,+4,,Lost in Indian Wells R128,,no
80,74,74,,no,no,Thiago Agustín Tirante,24,ARG,ARG,691,-6,-65,,Lost in Qual. Indian Wells R2,,no
81,54,54,,no,no,Francisco Comesaña,25,ARG,ARG,679,+1,-15,,Lost in Indian Wells R128,,no
82,49,49,,no,no,Jacob Fearnley,24,GBR,GBR,679,+5,+17,Indian Wells R64 699 1649,,,yes
83,45,45,,no,no,Alexander Shevchenko,25,KAZ,KAZ,676,+5,+17,Indian Wells R64 696 1646,,,yes
84,38,38,,no,no,Alexandre Müller,29,FRA,FRA,675,-3,-40,,,,no
85,76,76,,no,no,Filip Misolic,24,AUT,AUT,671,,-1,,,,no
86,71,71,,no,no,Jesper de Jong,25,NED,NED,665,,,,,,no
87,9,9,,no,no,Roberto Bautista Agut,37,ESP,ESP,665,+6,+20,Indian Wells R64 (R128 )685 1635,,,yes
88,48,48,,no,no,Aleksandar Vukic,29,AUS,AUS,656,,+1,,Lost in Qual. Indian Wells R2,,no
89,3,3,,no,no,Stan Wawrinka,40,SUI,SUI,649,,+3,,,,no
90,17,17,,no,no,Cristian Garín,29,CHI,CHI,646,,-10,,,,no
91,NCH (98),91,98,yes,yes,Zachary Svajda,23,USA,USA,644,+8,+30,,Lost in Indian Wells R64 (R128 ),,no
92,54,54,,no,no,Aleksandar Kovačević,27,USA,USA,641,-20,-130,Indian Wells R64 (R128 )661 1611,,,yes
93,NCH (95),93,95,yes,yes,Patrick Kypson,26,USA,USA,640,,+2,,Lost in Qual. Indian Wells R1,,no
94,63,63,,no,no,Mattia Bellucci,24,ITA,ITA,637,,-3,,Lost in Indian Wells R128,,no
95,74,74,,no,no,Adam Walton,26,AUS,AUS,630,-4,-20,,Lost in Indian Wells R64,,no
96,94,94,,no,no,Alexander Blockx,20,BEL,BEL,626,,+1,,Lost in Qual. Indian Wells R1,,no
