fetched_at_utc,category_key,category_label,rank,player_name,player_id,profile_url,image_url,rating,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,metric_4_name,metric_4_value,metric_5_name,metric_5_value,metric_6_name,metric_6_value,metrics_json
2026-03-07T07:52:00.531872Z,pressure,Under Pressure,1,Carlos Alcaraz,A0E2,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/overview,https://www.atptour.com/-/media/alias/player-headshot/A0E2,259.6,% Break Points Converted,43.9%,% Break Points Saved,67.7%,% Tie Breaks Won,65.6%,% Deciding Sets Won,82.4%,,,,,"{""% Break Points Converted"": ""43.9%"", ""% Break Points Saved"": ""67.7%"", ""% Tie Breaks Won"": ""65.6%"", ""% Deciding Sets Won"": ""82.4%""}"
2026-03-07T07:52:00.531872Z,pressure,Under Pressure,2,Ben Shelton,S0S1,https://www.atptour.com/en/players/ben-shelton/s0s1/overview,https://www.atptour.com/-/media/alias/player-headshot/S0S1,249.6,% Break Points Converted,40.9%,% Break Points Saved,67.7%,% Tie Breaks Won,61.0%,% Deciding Sets Won,80.0%,,,,,"{""% Break Points Converted"": ""40.9%"", ""% Break Points Saved"": ""67.7%"", ""% Tie Breaks Won"": ""61.0%"", ""% Deciding Sets Won"": ""80.0%""}"
2026-03-07T07:52:00.531872Z,pressure,Under Pressure,3,Novak Djokovic,D643,https://www.atptour.com/en/players/novak-djokovic/d643/overview,https://www.atptour.com/-/media/alias/player-headshot/D643,249.4,% Break Points Converted,42.3%,% Break Points Saved,64.6%,% Tie Breaks Won,55.0%,% Deciding Sets Won,87.5%,,,,,"{""% Break Points Converted"": ""42.3%"", ""% Break Points Saved"": ""64.6%"", ""% Tie Breaks Won"": ""55.0%"", ""% Deciding Sets Won"": ""87.5%""}"
2026-03-07T07:52:00.531872Z,pressure,Under Pressure,4,Felix Auger-Aliassime,AG37,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/overview,https://www.atptour.com/-/media/alias/player-headshot/AG37,239.6,% Break Points Converted,34.5%,% Break Points Saved,67.1%,% Tie Breaks Won,69.2%,% Deciding Sets Won,68.8%,,,,,"{""% Break Points Converted"": ""34.5%"", ""% Break Points Saved"": ""67.1%"", ""% Tie Breaks Won"": ""69.2%"", ""% Deciding Sets Won"": ""68.8%""}"
2026-03-07T07:52:00.531872Z,pressure,Under Pressure,5,Alexander Bublik,BK92,https://www.atptour.com/en/players/alexander-bublik/bk92/overview,https://www.atptour.com/-/media/alias/player-headshot/BK92,239.4,% Break Points Converted,39.5%,% Break Points Saved,71.2%,% Tie Breaks Won,65.5%,% Deciding Sets Won,63.2%,,,,,"{""% Break Points Converted"": ""39.5%"", ""% Break Points Saved"": ""71.2%"", ""% Tie Breaks Won"": ""65.5%"", ""% Deciding Sets Won"": ""63.2%""}"
2026-03-07T07:52:00.531872Z,pressure,Under Pressure,6,Jannik Sinner,S0AG,https://www.atptour.com/en/players/jannik-sinner/s0ag/overview,https://www.atptour.com/-/media/alias/player-headshot/S0AG,236.5,% Break Points Converted,43.4%,% Break Points Saved,72.2%,% Tie Breaks Won,76.5%,% Deciding Sets Won,44.4%,,,,,"{""% Break Points Converted"": ""43.4%"", ""% Break Points Saved"": ""72.2%"", ""% Tie Breaks Won"": ""76.5%"", ""% Deciding Sets Won"": ""44.4%""}"
2026-03-07T07:52:00.531872Z,pressure,Under Pressure,7,Learner Tien,T0HA,https://www.atptour.com/en/players/learner-tien/t0ha/overview,https://www.atptour.com/-/media/alias/player-headshot/T0HA,233.5,% Break Points Converted,42.1%,% Break Points Saved,62.8%,% Tie Breaks Won,63.9%,% Deciding Sets Won,64.7%,,,,,"{""% Break Points Converted"": ""42.1%"", ""% Break Points Saved"": ""62.8%"", ""% Tie Breaks Won"": ""63.9%"", ""% Deciding Sets Won"": ""64.7%""}"
2026-03-07T07:52:00.531872Z,pressure,Under Pressure,8,Taylor Fritz,FB98,https://www.atptour.com/en/players/taylor-fritz/fb98/overview,https://www.atptour.com/-/media/alias/player-headshot/FB98,232.7,% Break Points Converted,36.3%,% Break Points Saved,66.4%,% Tie Breaks Won,61.8%,% Deciding Sets Won,68.2%,,,,,"{""% Break Points Converted"": ""36.3%"", ""% Break Points Saved"": ""66.4%"", ""% Tie Breaks Won"": ""61.8%"", ""% Deciding Sets Won"": ""68.2%""}"
2026-03-07T07:52:00.531872Z,pressure,Under Pressure,9,Luciano Darderi,D0FJ,https://www.atptour.com/en/players/luciano-darderi/d0fj/overview,https://www.atptour.com/-/media/alias/player-headshot/D0FJ,228.4,% Break Points Converted,38.6%,% Break Points Saved,60.1%,% Tie Breaks Won,63.0%,% Deciding Sets Won,66.7%,,,,,"{""% Break Points Converted"": ""38.6%"", ""% Break Points Saved"": ""60.1%"", ""% Tie Breaks Won"": ""63.0%"", ""% Deciding Sets Won"": ""66.7%""}"
2026-03-07T07:52:00.531872Z,pressure,Under Pressure,10,Sebastian Baez,B0BI,https://www.atptour.com/en/players/sebastian-baez/b0bi/overview,https://www.atptour.com/-/media/alias/player-headshot/B0BI,228.0,% Break Points Converted,43.7%,% Break Points Saved,59.4%,% Tie Breaks Won,77.8%,% Deciding Sets Won,47.1%,,,,,"{""% Break Points Converted"": ""43.7%"", ""% Break Points Saved"": ""59.4%"", ""% Tie Breaks Won"": ""77.8%"", ""% Deciding Sets Won"": ""47.1%""}"
