fetched_at_utc,category_key,category_label,rank,player_name,player_id,profile_url,image_url,rating,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,metric_4_name,metric_4_value,metric_5_name,metric_5_value,metric_6_name,metric_6_value,metrics_json
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,1,Carlos Alcaraz,A0E2,https://www.atptour.com/en/players/carlos-alcaraz/a0e2/overview,https://www.atptour.com/-/media/alias/player-headshot/A0E2,253.9,% Break Points Converted,43.8%,% Break Points Saved,66.8%,% Tie Breaks Won,65.5%,% Deciding Sets Won,77.8%,,,,,"{""% Break Points Converted"": ""43.8%"", ""% Break Points Saved"": ""66.8%"", ""% Tie Breaks Won"": ""65.5%"", ""% Deciding Sets Won"": ""77.8%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,2,Ben Shelton,S0S1,https://www.atptour.com/en/players/ben-shelton/s0s1/overview,https://www.atptour.com/-/media/alias/player-headshot/S0S1,250.2,% Break Points Converted,40.8%,% Break Points Saved,68.0%,% Tie Breaks Won,61.4%,% Deciding Sets Won,80.0%,,,,,"{""% Break Points Converted"": ""40.8%"", ""% Break Points Saved"": ""68.0%"", ""% Tie Breaks Won"": ""61.4%"", ""% Deciding Sets Won"": ""80.0%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,3,Jannik Sinner,S0AG,https://www.atptour.com/en/players/jannik-sinner/s0ag/overview,https://www.atptour.com/-/media/alias/player-headshot/S0AG,247.7,% Break Points Converted,43.8%,% Break Points Saved,72.6%,% Tie Breaks Won,81.3%,% Deciding Sets Won,50.0%,,,,,"{""% Break Points Converted"": ""43.8%"", ""% Break Points Saved"": ""72.6%"", ""% Tie Breaks Won"": ""81.3%"", ""% Deciding Sets Won"": ""50.0%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,4,Novak Djokovic,D643,https://www.atptour.com/en/players/novak-djokovic/d643/overview,https://www.atptour.com/-/media/alias/player-headshot/D643,246.5,% Break Points Converted,42.0%,% Break Points Saved,64.6%,% Tie Breaks Won,52.4%,% Deciding Sets Won,87.5%,,,,,"{""% Break Points Converted"": ""42.0%"", ""% Break Points Saved"": ""64.6%"", ""% Tie Breaks Won"": ""52.4%"", ""% Deciding Sets Won"": ""87.5%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,5,Felix Auger-Aliassime,AG37,https://www.atptour.com/en/players/felix-auger-aliassime/ag37/overview,https://www.atptour.com/-/media/alias/player-headshot/AG37,240.4,% Break Points Converted,33.7%,% Break Points Saved,68.1%,% Tie Breaks Won,65.9%,% Deciding Sets Won,72.7%,,,,,"{""% Break Points Converted"": ""33.7%"", ""% Break Points Saved"": ""68.1%"", ""% Tie Breaks Won"": ""65.9%"", ""% Deciding Sets Won"": ""72.7%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,6,Alexander Bublik,BK92,https://www.atptour.com/en/players/alexander-bublik/bk92/overview,https://www.atptour.com/-/media/alias/player-headshot/BK92,236.6,% Break Points Converted,38.8%,% Break Points Saved,71.1%,% Tie Breaks Won,66.7%,% Deciding Sets Won,60.0%,,,,,"{""% Break Points Converted"": ""38.8%"", ""% Break Points Saved"": ""71.1%"", ""% Tie Breaks Won"": ""66.7%"", ""% Deciding Sets Won"": ""60.0%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,7,Learner Tien,T0HA,https://www.atptour.com/en/players/learner-tien/t0ha/overview,https://www.atptour.com/-/media/alias/player-headshot/T0HA,234.5,% Break Points Converted,43.0%,% Break Points Saved,62.5%,% Tie Breaks Won,64.7%,% Deciding Sets Won,64.3%,,,,,"{""% Break Points Converted"": ""43.0%"", ""% Break Points Saved"": ""62.5%"", ""% Tie Breaks Won"": ""64.7%"", ""% Deciding Sets Won"": ""64.3%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,8,Taylor Fritz,FB98,https://www.atptour.com/en/players/taylor-fritz/fb98/overview,https://www.atptour.com/-/media/alias/player-headshot/FB98,232.3,% Break Points Converted,36.8%,% Break Points Saved,66.2%,% Tie Breaks Won,61.1%,% Deciding Sets Won,68.2%,,,,,"{""% Break Points Converted"": ""36.8%"", ""% Break Points Saved"": ""66.2%"", ""% Tie Breaks Won"": ""61.1%"", ""% Deciding Sets Won"": ""68.2%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,9,Jack Draper,D0CO,https://www.atptour.com/en/players/jack-draper/d0co/overview,https://www.atptour.com/-/media/alias/player-headshot/D0CO,231.3,% Break Points Converted,39.9%,% Break Points Saved,64.7%,% Tie Breaks Won,66.7%,% Deciding Sets Won,60.0%,,,,,"{""% Break Points Converted"": ""39.9%"", ""% Break Points Saved"": ""64.7%"", ""% Tie Breaks Won"": ""66.7%"", ""% Deciding Sets Won"": ""60.0%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,10,Sebastian Baez,B0BI,https://www.atptour.com/en/players/sebastian-baez/b0bi/overview,https://www.atptour.com/-/media/alias/player-headshot/B0BI,230.1,% Break Points Converted,44.2%,% Break Points Saved,58.5%,% Tie Breaks Won,75.0%,% Deciding Sets Won,52.4%,,,,,"{""% Break Points Converted"": ""44.2%"", ""% Break Points Saved"": ""58.5%"", ""% Tie Breaks Won"": ""75.0%"", ""% Deciding Sets Won"": ""52.4%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,11,Grigor Dimitrov,D875,https://www.atptour.com/en/players/grigor-dimitrov/d875/overview,https://www.atptour.com/-/media/alias/player-headshot/D875,225.9,% Break Points Converted,38.3%,% Break Points Saved,65.1%,% Tie Breaks Won,60.0%,% Deciding Sets Won,62.5%,,,,,"{""% Break Points Converted"": ""38.3%"", ""% Break Points Saved"": ""65.1%"", ""% Tie Breaks Won"": ""60.0%"", ""% Deciding Sets Won"": ""62.5%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,12,Jakub Mensik,M0NI,https://www.atptour.com/en/players/jakub-mensik/m0ni/overview,https://www.atptour.com/-/media/alias/player-headshot/M0NI,224.7,% Break Points Converted,42.2%,% Break Points Saved,64.9%,% Tie Breaks Won,67.6%,% Deciding Sets Won,50.0%,,,,,"{""% Break Points Converted"": ""42.2%"", ""% Break Points Saved"": ""64.9%"", ""% Tie Breaks Won"": ""67.6%"", ""% Deciding Sets Won"": ""50.0%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,13,Luciano Darderi,D0FJ,https://www.atptour.com/en/players/luciano-darderi/d0fj/overview,https://www.atptour.com/-/media/alias/player-headshot/D0FJ,224.6,% Break Points Converted,38.2%,% Break Points Saved,59.6%,% Tie Breaks Won,64.3%,% Deciding Sets Won,62.5%,,,,,"{""% Break Points Converted"": ""38.2%"", ""% Break Points Saved"": ""59.6%"", ""% Tie Breaks Won"": ""64.3%"", ""% Deciding Sets Won"": ""62.5%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,14,Alex de Minaur,DH58,https://www.atptour.com/en/players/alex-de/dh58/overview,https://www.atptour.com/-/media/alias/player-headshot/DH58,222.8,% Break Points Converted,42.9%,% Break Points Saved,65.3%,% Tie Breaks Won,58.3%,% Deciding Sets Won,56.3%,,,,,"{""% Break Points Converted"": ""42.9%"", ""% Break Points Saved"": ""65.3%"", ""% Tie Breaks Won"": ""58.3%"", ""% Deciding Sets Won"": ""56.3%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,15,Valentin Vacherot,VA25,https://www.atptour.com/en/players/valentin-vacherot/va25/overview,https://www.atptour.com/-/media/alias/player-headshot/VA25,222.5,% Break Points Converted,40.9%,% Break Points Saved,65.8%,% Tie Breaks Won,44.4%,% Deciding Sets Won,71.4%,,,,,"{""% Break Points Converted"": ""40.9%"", ""% Break Points Saved"": ""65.8%"", ""% Tie Breaks Won"": ""44.4%"", ""% Deciding Sets Won"": ""71.4%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,16,Ethan Quinn,Q02L,https://www.atptour.com/en/players/ethan-quinn/q02l/overview,https://www.atptour.com/-/media/alias/player-headshot/Q02L,221.4,% Break Points Converted,41.9%,% Break Points Saved,60.7%,% Tie Breaks Won,43.8%,% Deciding Sets Won,75.0%,,,,,"{""% Break Points Converted"": ""41.9%"", ""% Break Points Saved"": ""60.7%"", ""% Tie Breaks Won"": ""43.8%"", ""% Deciding Sets Won"": ""75.0%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,17,Cameron Norrie,N771,https://www.atptour.com/en/players/cameron-norrie/n771/overview,https://www.atptour.com/-/media/alias/player-headshot/N771,220.7,% Break Points Converted,38.0%,% Break Points Saved,66.4%,% Tie Breaks Won,54.8%,% Deciding Sets Won,61.5%,,,,,"{""% Break Points Converted"": ""38.0%"", ""% Break Points Saved"": ""66.4%"", ""% Tie Breaks Won"": ""54.8%"", ""% Deciding Sets Won"": ""61.5%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,18,Jenson Brooksby,B0CD,https://www.atptour.com/en/players/jenson-brooksby/b0cd/overview,https://www.atptour.com/-/media/alias/player-headshot/B0CD,219.1,% Break Points Converted,39.2%,% Break Points Saved,61.8%,% Tie Breaks Won,64.3%,% Deciding Sets Won,53.8%,,,,,"{""% Break Points Converted"": ""39.2%"", ""% Break Points Saved"": ""61.8%"", ""% Tie Breaks Won"": ""64.3%"", ""% Deciding Sets Won"": ""53.8%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,19,Francisco Cerundolo,C0AU,https://www.atptour.com/en/players/francisco-cerundolo/c0au/overview,https://www.atptour.com/-/media/alias/player-headshot/C0AU,218.8,% Break Points Converted,42.3%,% Break Points Saved,62.4%,% Tie Breaks Won,66.7%,% Deciding Sets Won,47.4%,,,,,"{""% Break Points Converted"": ""42.3%"", ""% Break Points Saved"": ""62.4%"", ""% Tie Breaks Won"": ""66.7%"", ""% Deciding Sets Won"": ""47.4%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,20,Holger Rune,R0DG,https://www.atptour.com/en/players/holger-rune/r0dg/overview,https://www.atptour.com/-/media/alias/player-headshot/R0DG,217.9,% Break Points Converted,45.3%,% Break Points Saved,66.7%,% Tie Breaks Won,52.6%,% Deciding Sets Won,53.3%,,,,,"{""% Break Points Converted"": ""45.3%"", ""% Break Points Saved"": ""66.7%"", ""% Tie Breaks Won"": ""52.6%"", ""% Deciding Sets Won"": ""53.3%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,21,Casper Ruud,RH16,https://www.atptour.com/en/players/casper-ruud/rh16/overview,https://www.atptour.com/-/media/alias/player-headshot/RH16,217.7,% Break Points Converted,39.5%,% Break Points Saved,67.3%,% Tie Breaks Won,69.2%,% Deciding Sets Won,41.7%,,,,,"{""% Break Points Converted"": ""39.5%"", ""% Break Points Saved"": ""67.3%"", ""% Tie Breaks Won"": ""69.2%"", ""% Deciding Sets Won"": ""41.7%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,22,Arthur Fils,F0F1,https://www.atptour.com/en/players/arthur-fils/f0f1/overview,https://www.atptour.com/-/media/alias/player-headshot/F0F1,217.5,% Break Points Converted,40.4%,% Break Points Saved,57.7%,% Tie Breaks Won,46.7%,% Deciding Sets Won,72.7%,,,,,"{""% Break Points Converted"": ""40.4%"", ""% Break Points Saved"": ""57.7%"", ""% Tie Breaks Won"": ""46.7%"", ""% Deciding Sets Won"": ""72.7%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,23,Alejandro Davidovich Fokina,DH50,https://www.atptour.com/en/players/alejandro-davidovich/dh50/overview,https://www.atptour.com/-/media/alias/player-headshot/DH50,215.2,% Break Points Converted,42.6%,% Break Points Saved,67.0%,% Tie Breaks Won,50.0%,% Deciding Sets Won,55.6%,,,,,"{""% Break Points Converted"": ""42.6%"", ""% Break Points Saved"": ""67.0%"", ""% Tie Breaks Won"": ""50.0%"", ""% Deciding Sets Won"": ""55.6%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,24,Flavio Cobolli,C0E9,https://www.atptour.com/en/players/flavio-cobolli/c0e9/overview,https://www.atptour.com/-/media/alias/player-headshot/C0E9,214.6,% Break Points Converted,37.8%,% Break Points Saved,59.9%,% Tie Breaks Won,58.1%,% Deciding Sets Won,58.8%,,,,,"{""% Break Points Converted"": ""37.8%"", ""% Break Points Saved"": ""59.9%"", ""% Tie Breaks Won"": ""58.1%"", ""% Deciding Sets Won"": ""58.8%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,25,Arthur Rinderknech,RC91,https://www.atptour.com/en/players/arthur-rinderknech/rc91/overview,https://www.atptour.com/-/media/alias/player-headshot/RC91,214.0,% Break Points Converted,33.8%,% Break Points Saved,67.7%,% Tie Breaks Won,44.1%,% Deciding Sets Won,68.4%,,,,,"{""% Break Points Converted"": ""33.8%"", ""% Break Points Saved"": ""67.7%"", ""% Tie Breaks Won"": ""44.1%"", ""% Deciding Sets Won"": ""68.4%""}"
2026-02-17T17:56:16.126169Z,pressure,Under Pressure,26,Tallon Griekspoor,GJ37,https://www.atptour.com/en/players/tallon-griekspoor/gj37/overview,https://www.atptour.com/-/media/alias/player-headshot/GJ37,213.9,% Break Points Converted,32.5%,% Break Points Saved,66.4%,% Tie Breaks Won,57.9%,% Deciding Sets Won,57.1%,,,,,"{""% Break Points Converted"": ""32.5%"", ""% Break Points Saved"": ""66.4%"", ""% Tie Breaks Won"": ""57.9%"", ""% Deciding Sets Won"": ""57.1%""}"
