rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
1,CH,1,,yes,no,Aryna Sabalenka,28,BLR,BLR,8550,,,,,,no
2,CH,2,,yes,no,Elena Rybakina,27,KAZ,KAZ,8056,,-87,,,,no
3,CH,3,,yes,no,Jessica Pegula,32,USA,USA,6300,,-1,Washington R32,,,yes
4,2,2,,no,no,Coco Gauff,22,USA,USA,5649,,,,,,no
5,CH,5,,yes,no,Mirra Andreeva,19,RUS,RUS,5293,,,,,,no
6,CH,6,,yes,no,Karolína Muchová,29,CZE,CZE,5168,,,,,,no
7,CH,7,,yes,no,Linda Nosková,21,CZE,CZE,5016,,-103,,,,no
8,1,1,,no,no,Iga Świątek,25,POL,POL,4539,,,,,,no
9,3,3,,no,no,Amanda Anisimova,24,USA,USA,4353,,,,,,no
10,3,3,,no,no,Elina Svitolina,31,UKR,UKR,4351,,,Washington R32,,,yes
11,CH,11,,yes,no,Marta Kostyuk,24,UKR,UKR,3925,,-1,,,,no
12,9,9,,no,no,Victoria Mboko,19,CAN,CAN,3520,,-50,,,,no
13,1,1,,no,no,Naomi Osaka,28,JPN,JPN,3086,,-60,Washington R32,,,yes
14,4,4,,no,no,Belinda Bencic,29,SUI,SUI,2845,,,,,,no
15,4,4,,no,no,Jasmine Paolini,30,ITA,ITA,2783,,,,,,no
16,CH,16,,yes,no,Iva Jovic,18,USA,USA,2636,,,,,,no
17,CH,17,,yes,no,Sorana Cîrstea,36,ROU,ROU,2502,,,,,,no
18,11,11,,no,no,Diana Shnaider,22,RUS,RUS,2458,,,Washington R32,,,yes
19,10,10,,no,no,Ekaterina Alexandrova,31,RUS,RUS,2301,,,Memphis R32,,,yes
20,11,11,,no,no,Anna Kalinskaya,27,RUS,RUS,2007,,-293,Washington R32,,,yes
21,CH,21,,yes,no,Maja Chwalińska,24,POL,POL,1975,,+1,,,,no
22,5,5,,no,no,Madison Keys,31,USA,USA,1964,,+1,Washington R32,,,yes
23,12,12,,no,no,Elise Mertens,30,BEL,BEL,1948,,+1,,,,no
24,21,21,,no,no,Marie Bouzková,28,CZE,CZE,1829,-3,-190,,Lost in Prague QF,,no
25,2,2,,no,no,Barbora Krejčíková,30,CZE,CZE,1776,+1,+97,,Lost in Prague SF,,no
26,8,8,,no,no,Emma Navarro,25,USA,USA,1674,,+1,Washington R32,,,yes
27,21,21,,no,no,Anastasia Potapova,25,AUT,AUT,1667,,+1,Washington R32,,,yes
28,CH,28,,yes,no,Alexandra Eala,21,PHI,PHI,1666,,+1,Washington R32,,,yes
29,5,5,,no,no,Jeļena Ostapenko,29,LAT,LAT,1592,,+2,,,,no
30,12,12,,no,no,Clara Tauson,23,DEN,DEN,1564,,-98,Washington R32,,,yes
31,29,29,,no,no,Ann Li,26,USA,USA,1541,+1,-24,Washington R32,,,yes
32,25,25,,no,no,Hailey Baptiste,24,USA,USA,1372,,+2,,,,no
33,3,3,,no,no,Maria Sakkari,31,GRE,GRE,1355,,-107,,,,no
34,13,13,,no,no,Leylah Fernandez,23,CAN,CAN,1344,-9,-440,Washington R32,,,yes
35,17,17,,no,no,Donna Vekić,30,CRO,CRO,1326,,+1,,,,no
36,27,27,,no,no,Kateřina Siniaková,30,CZE,CZE,1285,-1,-53,,,,no
37,36,36,,no,no,Janice Tjen,24,INA,INA,1282,,+1,Washington R32,,,yes
38,34,34,,no,no,Sára Bejlek,20,CZE,CZE,1269,,+2,,Lost in Prague QF,,no
39,28,28,,no,no,Jaqueline Cristian,28,ROU,ROU,1256,,+2,,,,no
40,30,30,,no,no,Cristina Bucșa,28,ESP,ESP,1244,,+2,Washington R32,,,yes
41,NCH,41,43,yes,yes,Nikola Bartůňková,20,CZE,CZE,1231,+3,+29,,Lost in Prague R16,,no
42,30,30,,no,no,Xinyu Wang,24,CHN,CHN,1193,-3,-83,Washington R32,,,yes
43,NCH,43,54,yes,yes,Daria Snigur,24,UKR,UKR,1172,+11,+145,Prague F,,,yes
44,NCH,44,45,yes,yes,Oleksandra Oliynykova,25,UKR,UKR,1171,+1,+39,,Lost in Hamburg QF,,no
45,30,30,,no,no,Mccartney Kessler,27,USA,USA,1125,,+1,Memphis R32,,,yes
46,22,22,,no,no,Magdalena Fręch,28,POL,POL,1120,-3,-88,Washington R32,,,yes
47,10,10,,no,no,Emma Raducanu,23,GBR,GBR,1105,-10,-194,,,,no
48,31,31,,no,no,Mayar Sherif,30,EGY,EGY,1105,+7,+83,,Lost in Hamburg SF,,no
49,35,35,,no,no,Viktorija Golubic,33,SUI,SUI,1088,,-2,Memphis R32,,,yes
50,48,48,,no,no,Zeynep Sönmez,24,TUR,TUR,1074,,-2,Memphis R32,,,yes
51,45,45,,no,no,Petra Marčinko,20,CRO,CRO,1074,,-2,,,,no
52,NCH,52,74,yes,yes,Lilli Tagger,18,AUT,AUT,1073,+22,+151,Prague F,,,yes
