rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
1,CH,1,,yes,no,Aryna Sabalenka,27,BLR,BLR,10990,,,,,,no
2,1,1,,no,no,Iga Świątek,24,POL,POL,7978,,,Doha R32,,,yes
3,CH,3,,yes,no,Elena Rybakina,26,KAZ,KAZ,7523,,-87,Doha R32,,,yes
4,3,3,,no,no,Amanda Anisimova,24,USA,USA,6680,,,Doha R32,,,yes
5,2,2,,no,no,Coco Gauff,21,USA,USA,6423,,,Doha R32,,,yes
6,3,3,,no,no,Jessica Pegula,31,USA,USA,6103,,,,,,no
7,5,5,,no,no,Mirra Andreeva,18,RUS,RUS,4731,,,Doha R32,,,yes
8,4,4,,no,no,Jasmine Paolini,30,ITA,ITA,4267,,,Doha R32,,,yes
9,3,3,,no,no,Elina Svitolina,31,UKR,UKR,3205,,+1,Doha R32,,,yes
10,CH,10,,yes,no,Ekaterina Alexandrova,31,RUS,RUS,3200,+1,+217,Abu Dhabi F (SF )3375 3375 Advertisement,,,yes
11,4,4,,no,no,Belinda Bencic,28,SUI,SUI,2843,-2,-499,,,,no
12,CH,12,,yes,no,Linda Nosková,21,CZE,CZE,2626,,-135,Doha R64,,,yes
13,CH,13,,yes,no,Victoria Mboko,19,CAN,CAN,2606,,,Doha R64,,,yes
14,12,12,,no,no,Clara Tauson,23,DEN,DEN,2530,+2,+185,Doha R64,Lost in Abu Dhabi SF Lost in Abu Dhabi SF Doha R64,,yes
15,1,1,,no,no,Naomi Osaka,28,JPN,JPN,2366,,-1,,,,no
16,5,5,,no,no,Madison Keys,30,USA,USA,2351,,-1,,,,no
17,12,12,,no,no,Ludmilla Samsonova,27,RUS,RUS,2116,+1,+54,Doha R64,Lost in Abu Dhabi QF Lost in Abu Dhabi QF Doha R64,,yes
18,8,8,,no,no,Emma Navarro,24,USA,USA,2095,,-1,Doha R64,Lost in Abu Dhabi R16 Lost in Abu Dhabi R16 Doha R64,,yes
19,8,8,,no,no,Karolína Muchová,29,CZE,CZE,2058,,,Doha R64,,,yes
20,CH,20,,yes,no,Iva Jovic,18,USA,USA,2031,,,,,,no
21,11,11,,no,no,Diana Shnaider,21,RUS,RUS,1953,,,Doha R64,,,yes
22,12,12,,no,no,Elise Mertens,30,BEL,BEL,1936,,,Doha R64,,,yes
23,16,16,,no,no,Marta Kostyuk,23,UKR,UKR,1863,,,,,,no
24,5,5,,no,no,Jeļena Ostapenko,28,LAT,LAT,1860,,+59,Doha R64,Lost in Abu Dhabi R16 Lost in Abu Dhabi R16 Doha R64,,yes
25,10,10,,no,no,Emma Raducanu,23,GBR,GBR,1700,+5,+153,Cluj-Napoca F (SF )1787 1787,,,yes
26,4,4,,no,no,Qinwen Zheng,23,CHN,CHN,1658,,,Doha R64,,,yes
27,13,13,,no,no,Leylah Fernandez,23,CAN,CAN,1653,-2,-48,Doha R64,Lost in Abu Dhabi R16 Lost in Abu Dhabi R16 Doha R64,,yes
28,11,11,,no,no,Anna Kalinskaya,27,RUS,RUS,1575,,-1,Doha R64,,,yes
29,4,4,,no,no,Sofia Kenin,27,USA,USA,1567,,-1,Doha R64,Lost in Abu Dhabi R32 Lost in Abu Dhabi R32 Doha R64,,yes
30,29,29,,no,no,Maya Joint,19,AUS,AUS,1549,,-1,Doha R64,Lost in Abu Dhabi R32 Lost in Abu Dhabi R32 Doha R64,,yes
31,30,30,,no,no,Mccartney Kessler,26,USA,USA,1476,+1,+81,Doha R64,Lost in Abu Dhabi QF Lost in Abu Dhabi QF Doha R64,,yes
