rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
1,CH,1,,yes,no,Aryna Sabalenka,27,BLR,BLR,10870,,,,,,no
2,1,1,,no,no,Iga Świątek,24,POL,POL,7653,,-150,,,,no
3,CH,3,,yes,no,Elena Rybakina,26,KAZ,KAZ,7253,,-270,,Lost in Dubai R16 (R32 ),,no
4,2,2,,no,no,Coco Gauff,21,USA,USA,6533,,+110,Dubai R16 (R32 )6628 7413,,,yes
5,3,3,,no,no,Jessica Pegula,31,USA,USA,5983,,+95,Dubai QF (R16 )6158 6768,,,yes
6,3,3,,no,no,Amanda Anisimova,24,USA,USA,5878,,+188,Dubai QF (R16 )6053 6663,,,yes
7,4,4,,no,no,Jasmine Paolini,30,ITA,ITA,4047,+1,-110,,Lost in Dubai R32,,no
8,5,5,,no,no,Mirra Andreeva,18,RUS,RUS,4001,-1,-785,Dubai QF (R16 )4176 4786,,,yes
9,3,3,,no,no,Elina Svitolina,31,UKR,UKR,3410,,+150,Dubai QF (R16 )3585 4195,,,yes
10,CH,10,,yes,no,Victoria Mboko,19,CAN,CAN,3246,,,Advertisement,,,yes
11,10,10,,no,no,Ekaterina Alexandrova,31,RUS,RUS,2918,,+1,,Lost in Dubai R32,,no
12,4,4,,no,no,Belinda Bencic,28,SUI,SUI,2898,+1,+55,,Lost in Dubai R16,,no
13,8,8,,no,no,Karolína Muchová,29,CZE,CZE,2668,-2,-390,,,,no
14,12,12,,no,no,Linda Nosková,21,CZE,CZE,2421,,-150,,Lost in Dubai R32,,no
15,1,1,,no,no,Naomi Osaka,28,JPN,JPN,2356,,+1,,,,no
16,5,5,,no,no,Madison Keys,31,USA,USA,2351,,+1,,,,no
17,12,12,,no,no,Clara Tauson,23,DEN,DEN,2095,-2,-435,Dubai QF (R16 )2270 2880,,,yes
18,NCH (20),18,20,yes,yes,Iva Jovic,18,USA,USA,2095,+2,+87,,Lost in Dubai R16,,no
19,12,12,,no,no,Ludmilla Samsonova,27,RUS,RUS,2050,-1,-55,,Lost in Dubai R64,,no
20,8,8,,no,no,Emma Navarro,24,USA,USA,2045,-1,-55,,Lost in Dubai R32,,no
21,11,11,,no,no,Diana Shnaider,21,RUS,RUS,1953,,,,Lost in Dubai R32,,no
22,12,12,,no,no,Elise Mertens,30,BEL,BEL,1936,,+55,Dubai R16 (R32 )2031 2816,,,yes
23,11,11,,no,no,Anna Kalinskaya,27,RUS,RUS,1813,,+33,,Lost in Dubai R32,,no
24,4,4,,no,no,Qinwen Zheng,23,CHN,CHN,1758,,-10,,,,no
25,10,10,,no,no,Emma Raducanu,23,GBR,GBR,1645,,-55,,Lost in Dubai R64,,no
26,5,5,,no,no,Jeļena Ostapenko,28,LAT,LAT,1600,,+1,,Lost in Dubai R64,,no
27,16,16,,no,no,Marta Kostyuk,23,UKR,UKR,1584,-1,-64,,,,no
28,CH,28,,yes,no,Maya Joint,19,AUS,AUS,1549,,,,Lost in Dubai R64,,no
29,13,13,,no,no,Leylah Fernandez,23,CAN,CAN,1548,,+5,,Lost in Dubai R32,,no
30,NCH (32),30,32,yes,yes,Xinyu Wang,24,CHN,CHN,1438,,+3,,,,no
31,3,3,,no,no,Maria Sakkari,30,GRE,GRE,1435,,+3,,,,no
32,NCH (35),32,35,yes,yes,Jaqueline Cristian,27,ROU,ROU,1367,+7,+60,,Lost in Dubai R16,,no
33,30,30,,no,no,Mccartney Kessler,26,USA,USA,1356,-2,-88,,,,no
