rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
1,CH,1,,yes,no,Aryna Sabalenka,27,BLR,BLR,10090,,-585,Indian Wells R32,,,yes
2,1,1,,no,no,Iga Świątek,24,POL,POL,7263,,-325,Indian Wells R64,,7263,yes
3,CH,3,,yes,no,Elena Rybakina,26,KAZ,KAZ,7143,,-110,Indian Wells R64,,7198,yes
4,2,2,,no,no,Coco Gauff,21,USA,USA,6748,,-55,Indian Wells R32,,,yes
5,3,3,,no,no,Jessica Pegula,32,USA,USA,6473,,-110,Indian Wells R64,,6528,yes
6,3,3,,no,no,Amanda Anisimova,24,USA,USA,6125,,+55,Indian Wells R32,,6180,yes
7,4,4,,no,no,Jasmine Paolini,30,ITA,ITA,4177,,-55,Indian Wells R32,,,yes
8,3,3,,no,no,Elina Svitolina,31,UKR,UKR,3640,+1,-205,Indian Wells R64,,3695,yes
9,NCH,9,10,yes,yes,Victoria Mboko,19,CAN,CAN,3201,+1,-10,Indian Wells R32,,,yes
10,5,5,,no,no,Mirra Andreeva,18,RUS,RUS,3011,-2,-990,Indian Wells R64,,3066,yes
11,10,10,,no,no,Ekaterina Alexandrova,31,RUS,RUS,2918,,,,Lost in Indian Wells R64,,no
12,4,4,,no,no,Belinda Bencic,28,SUI,SUI,2693,,-205,Indian Wells R64,,2748,yes
13,8,8,,no,no,Karolína Muchová,29,CZE,CZE,2558,,-110,Indian Wells R64,,2613,yes
14,12,12,,no,no,Linda Nosková,21,CZE,CZE,2476,,+55,Indian Wells R32,,,yes
15,1,1,,no,no,Naomi Osaka,28,JPN,JPN,2379,+1,+55,Indian Wells R32,,,yes
16,12,12,,no,no,Clara Tauson,23,DEN,DEN,2095,,+1,Indian Wells R32,,,yes
17,NCH,17,18,yes,yes,Iva Jovic,18,USA,USA,2070,+1,-25,,Lost in Indian Wells R64,,no
18,5,5,,no,no,Madison Keys,31,USA,USA,1971,-3,-380,Indian Wells R64,,2026,yes
19,11,11,,no,no,Diana Shnaider,21,RUS,RUS,1898,+1,-55,,Lost in Indian Wells R64,,no
20,12,12,,no,no,Elise Mertens,30,BEL,BEL,1881,+1,-55,Indian Wells R64,,1936,yes
21,11,11,,no,no,Anna Kalinskaya,27,RUS,RUS,1868,+1,+55,Indian Wells R32,,,yes
22,12,12,,no,no,Ludmilla Samsonova,27,RUS,RUS,1845,-3,-205,Indian Wells R64,,1900,yes
23,10,10,,no,no,Emma Raducanu,23,GBR,GBR,1700,+1,+55,Indian Wells R32,,,yes
24,5,5,,no,no,Jeļena Ostapenko,28,LAT,LAT,1600,,+2,Indian Wells R64,,1655,yes
25,13,13,,no,no,Leylah Fernandez,23,CAN,CAN,1598,,+2,Indian Wells R64,,1653,yes
26,4,4,,no,no,Qinwen Zheng,23,CHN,CHN,1553,-3,-205,Indian Wells R64,,1608,yes
27,8,8,,no,no,Emma Navarro,24,USA,USA,1550,-2,-55,Indian Wells R64,,1605,yes
28,16,16,,no,no,Marta Kostyuk,23,UKR,UKR,1473,,-110,Indian Wells R64,,1528,yes
29,NCH,29,31,yes,yes,Cristina Bucșa,28,ESP,ESP,1451,+2,+15,Indian Wells R64,,,yes
30,28,28,,no,no,Maya Joint,19,AUS,AUS,1445,-1,-20,,Lost in Indian Wells R64,,no
31,CH,31,,yes,no,Alexandra Eala,20,PHI,PHI,1432,,+1,Indian Wells R64,,1487,yes
32,24,24,,no,no,Marie Bouzková,27,CZE,CZE,1425,,+1,,Lost in Indian Wells R128,,no
33,30,30,,no,no,Xinyu Wang,24,CHN,CHN,1383,-3,-55,,Lost in Indian Wells R64,,no
34,21,21,,no,no,Sorana Cîrstea,35,ROU,ROU,1374,+4,+30,Indian Wells R32,,,yes
35,33,33,,no,no,Jaqueline Cristian,27,ROU,ROU,1367,,,Indian Wells R32,,,yes
36,3,3,,no,no,Maria Sakkari,30,GRE,GRE,1355,-2,-55,Indian Wells R64,,1410,yes
37,22,22,,no,no,Magdalena Fręch,28,POL,POL,1348,,-1,,Lost in Indian Wells R128,,no
38,34,34,,no,no,Loïs Boisson,22,FRA,FRA,1347,,-1,,,,no
39,36,36,,no,no,Janice Tjen,23,INA,INA,1341,,,,Lost in Indian Wells R128,,no
40,33,33,,no,no,Ann Li,25,USA,USA,1333,,+1,,Lost in Indian Wells R128,,no
41,37,37,,no,no,Sára Bejlek,20,CZE,CZE,1326,-1,-15,,,,no
42,6,6,,no,no,Markéta Vondroušová,26,CZE,CZE,1263,,+4,,,,no
43,29,29,,no,no,Elisabetta Cocciaretto,25,ITA,ITA,1255,-1,-35,,,,no
44,39,39,,no,no,Hailey Baptiste,24,USA,USA,1244,-1,-30,Indian Wells R64,,,yes
45,4,4,,no,no,Sofia Kenin,27,USA,USA,1242,,-25,,Lost in Indian Wells R128,,no
46,27,27,,no,no,Kateřina Siniaková,29,CZE,CZE,1239,-2,-30,Indian Wells R64,,,yes
