fetched_at_utc,category_key,category_label,rank,player_name,player_id,profile_url,image_url,rating,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,metric_4_name,metric_4_value,metric_5_name,metric_5_value,metric_6_name,metric_6_value,metrics_json
2026-02-07T19:48:52.317053Z,return,Return,1,Maja Chwalinska,325639,https://www.wtatennis.com/players/325639/maja-chwalinska,https://photoresources.wtatennis.com/wta/photo/2025/05/08/38adcba7-11a0-4e63-9ead-34042a0a69aa/Chwalinska-Torso_325639.png,94.4,1st Return Points Won %,44.1%,2nd Return Points Won %,66.7%,Break Points Converted %,62.5%,Return Games Won %,62.5%,Return Points Won %,53.4%,,,"{""category"": ""return"", ""player_rank"": 146, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 44.1, ""raw_display"": ""44.1%"", ""normalized"": 79.23, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 21.6, ""max"": 50.0, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 66.7, ""raw_display"": ""66.7%"", ""normalized"": 100.0, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 37.8, ""max"": 66.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 62.5, ""raw_display"": ""62.5%"", ""normalized"": 94.99, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 20.8, ""max"": 64.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 62.5, ""raw_display"": ""62.5%"", ""normalized"": 100.0, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 11.5, ""max"": 62.5, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 53.4, ""raw_display"": ""53.4%"", ""normalized"": 100.0, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 26.8, ""max"": 53.4, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-07T19:48:52.317053Z,return,Return,2,Yeonwoo Ku,327252,https://www.wtatennis.com/players/327252/yeonwoo-ku,https://photoresources.wtatennis.com/wta/photo/2021/03/10/86f378c2-89ab-4a27-b472-1b189683df6d/Ku_crop.jpg,84.6,1st Return Points Won %,50.0%,2nd Return Points Won %,57.1%,Break Points Converted %,57.1%,Return Games Won %,50.0%,Return Points Won %,52.5%,,,"{""category"": ""return"", ""player_rank"": 188, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 50.0, ""raw_display"": ""50.0%"", ""normalized"": 100.0, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 21.6, ""max"": 50.0, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 57.1, ""raw_display"": ""57.1%"", ""normalized"": 66.78, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 37.8, ""max"": 66.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 57.1, ""raw_display"": ""57.1%"", ""normalized"": 82.69, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 20.8, ""max"": 64.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 50.0, ""raw_display"": ""50.0%"", ""normalized"": 75.49, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 11.5, ""max"": 62.5, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 52.5, ""raw_display"": ""52.5%"", ""normalized"": 96.62, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 26.8, ""max"": 53.4, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-07T19:48:52.317053Z,return,Return,3,Lilli Tagger,332150,https://www.wtatennis.com/players/332150/lilli-tagger,,80.5,1st Return Points Won %,48.5%,2nd Return Points Won %,56.7%,Break Points Converted %,53.8%,Return Games Won %,50.0%,Return Points Won %,51.0%,,,"{""category"": ""return"", ""player_rank"": 128, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 48.5, ""raw_display"": ""48.5%"", ""normalized"": 94.72, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 21.6, ""max"": 50.0, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 56.7, ""raw_display"": ""56.7%"", ""normalized"": 65.4, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 37.8, ""max"": 66.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 53.8, ""raw_display"": ""53.8%"", ""normalized"": 75.17, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 20.8, ""max"": 64.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 50.0, ""raw_display"": ""50.0%"", ""normalized"": 75.49, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 11.5, ""max"": 62.5, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 51.0, ""raw_display"": ""51.0%"", ""normalized"": 90.98, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 26.8, ""max"": 53.4, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-07T19:48:52.317053Z,return,Return,4,Iva Jovic,332285,https://www.wtatennis.com/players/332285/iva-jovic,https://photoresources.wtatennis.com/wta/photo/2025/03/10/c5a7395c-c1eb-4a45-80fe-5539aa27c10e/Jovic-Torso_332285.png,78.2,1st Return Points Won %,43.2%,2nd Return Points Won %,59.9%,Break Points Converted %,54.5%,Return Games Won %,50.0%,Return Points Won %,49.7%,,,"{""category"": ""return"", ""player_rank"": 20, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 43.2, ""raw_display"": ""43.2%"", ""normalized"": 76.06, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 21.6, ""max"": 50.0, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 59.9, ""raw_display"": ""59.9%"", ""normalized"": 76.47, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 37.8, ""max"": 66.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 54.5, ""raw_display"": ""54.5%"", ""normalized"": 76.77, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 20.8, ""max"": 64.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 50.0, ""raw_display"": ""50.0%"", ""normalized"": 75.49, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 11.5, ""max"": 62.5, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 49.7, ""raw_display"": ""49.7%"", ""normalized"": 86.09, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 26.8, ""max"": 53.4, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-07T19:48:52.317053Z,return,Return,5,Aishi Das,333107,https://www.wtatennis.com/players/333107,,78.0,1st Return Points Won %,36.7%,2nd Return Points Won %,66.7%,Break Points Converted %,57.1%,Return Games Won %,44.4%,Return Points Won %,50.0%,,,"{""category"": ""return"", ""player_rank"": 1121, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 36.7, ""raw_display"": ""36.7%"", ""normalized"": 53.17, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 21.6, ""max"": 50.0, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 66.7, ""raw_display"": ""66.7%"", ""normalized"": 100.0, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 37.8, ""max"": 66.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 57.1, ""raw_display"": ""57.1%"", ""normalized"": 82.69, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 20.8, ""max"": 64.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 44.4, ""raw_display"": ""44.4%"", ""normalized"": 64.51, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 11.5, ""max"": 62.5, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 50.0, ""raw_display"": ""50.0%"", ""normalized"": 87.22, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 26.8, ""max"": 53.4, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-07T19:48:52.317053Z,return,Return,6,Belinda Bencic,319001,https://www.wtatennis.com/players/319001/belinda-bencic,https://photoresources.wtatennis.com/wta/photo/2025/03/10/5148518c-34b9-45d0-a2bb-47a57c41f84e/Bencic-Torso_319001.png,76.5,1st Return Points Won %,42.1%,2nd Return Points Won %,61.2%,Break Points Converted %,52.2%,Return Games Won %,47.4%,Return Points Won %,49.7%,,,"{""category"": ""return"", ""player_rank"": 9, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 42.1, ""raw_display"": ""42.1%"", ""normalized"": 72.18, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 21.6, ""max"": 50.0, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 61.2, ""raw_display"": ""61.2%"", ""normalized"": 80.97, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 37.8, ""max"": 66.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 52.2, ""raw_display"": ""52.2%"", ""normalized"": 71.53, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 20.8, ""max"": 64.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 47.4, ""raw_display"": ""47.4%"", ""normalized"": 70.39, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 11.5, ""max"": 62.5, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 49.7, ""raw_display"": ""49.7%"", ""normalized"": 86.09, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 26.8, ""max"": 53.4, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-07T19:48:52.317053Z,return,Return,7,Taylah Preston,330291,https://www.wtatennis.com/players/330291/taylah-preston,https://photoresources.wtatennis.com/wta/photo/2024/04/29/ac17c43c-e77f-4e87-bf5e-6c69de31a3c1/Preston-Torso_330291-WTA-Tennis.png,75.9,1st Return Points Won %,43.0%,2nd Return Points Won %,57.7%,Break Points Converted %,55.0%,Return Games Won %,49.3%,Return Points Won %,49.0%,,,"{""category"": ""return"", ""player_rank"": 148, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 43.0, ""raw_display"": ""43.0%"", ""normalized"": 75.35, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 21.6, ""max"": 50.0, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 57.7, ""raw_display"": ""57.7%"", ""normalized"": 68.86, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 37.8, ""max"": 66.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 55.0, ""raw_display"": ""55.0%"", ""normalized"": 77.9, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 20.8, ""max"": 64.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 49.3, ""raw_display"": ""49.3%"", ""normalized"": 74.12, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 11.5, ""max"": 62.5, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 49.0, ""raw_display"": ""49.0%"", ""normalized"": 83.46, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 26.8, ""max"": 53.4, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-07T19:48:52.317053Z,return,Return,8,Sofia Costoulas,330451,https://www.wtatennis.com/players/330451/sofia-costoulas,,75.8,1st Return Points Won %,42.1%,2nd Return Points Won %,60.2%,Break Points Converted %,52.9%,Return Games Won %,50.0%,Return Points Won %,48.3%,,,"{""category"": ""return"", ""player_rank"": 141, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 42.1, ""raw_display"": ""42.1%"", ""normalized"": 72.18, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 21.6, ""max"": 50.0, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 60.2, ""raw_display"": ""60.2%"", ""normalized"": 77.51, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 37.8, ""max"": 66.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 52.9, ""raw_display"": ""52.9%"", ""normalized"": 73.12, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 20.8, ""max"": 64.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 50.0, ""raw_display"": ""50.0%"", ""normalized"": 75.49, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 11.5, ""max"": 62.5, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 48.3, ""raw_display"": ""48.3%"", ""normalized"": 80.83, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 26.8, ""max"": 53.4, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-07T19:48:52.317053Z,return,Return,9,Linda Fruhvirtova,329627,https://www.wtatennis.com/players/329627/linda-fruhvirtova,https://photoresources.wtatennis.com/wta/photo/2024/05/01/096c664d-00f3-4f3c-9c87-835b22b9ba44/Fruhvirtova-Torso_329627-WTA-Tennis.png,74.7,1st Return Points Won %,39.4%,2nd Return Points Won %,62.4%,Break Points Converted %,48.0%,Return Games Won %,50.0%,Return Points Won %,50.3%,,,"{""category"": ""return"", ""player_rank"": 121, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 39.4, ""raw_display"": ""39.4%"", ""normalized"": 62.68, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 21.6, ""max"": 50.0, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 62.4, ""raw_display"": ""62.4%"", ""normalized"": 85.12, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 37.8, ""max"": 66.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 48.0, ""raw_display"": ""48.0%"", ""normalized"": 61.96, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 20.8, ""max"": 64.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 50.0, ""raw_display"": ""50.0%"", ""normalized"": 75.49, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 11.5, ""max"": 62.5, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 50.3, ""raw_display"": ""50.3%"", ""normalized"": 88.35, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 26.8, ""max"": 53.4, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-07T19:48:52.317053Z,return,Return,10,Elina Svitolina,316738,https://www.wtatennis.com/players/316738/elina-svitolina,https://photoresources.wtatennis.com/wta/photo/2025/03/10/b58d38b6-ab58-4061-b189-19cbcdd4e53e/Svitolina-Torso_316738.png,73.9,1st Return Points Won %,40.2%,2nd Return Points Won %,59.9%,Break Points Converted %,58.3%,Return Games Won %,44.5%,Return Points Won %,47.1%,,,"{""category"": ""return"", ""player_rank"": 10, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 40.2, ""raw_display"": ""40.2%"", ""normalized"": 65.49, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 21.6, ""max"": 50.0, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 59.9, ""raw_display"": ""59.9%"", ""normalized"": 76.47, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 37.8, ""max"": 66.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 58.3, ""raw_display"": ""58.3%"", ""normalized"": 85.42, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 20.8, ""max"": 64.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 44.5, ""raw_display"": ""44.5%"", ""normalized"": 64.71, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 11.5, ""max"": 62.5, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 47.1, ""raw_display"": ""47.1%"", ""normalized"": 76.32, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 26.8, ""max"": 53.4, ""lower_is_better"": false, ""is_percent"": true}]}"
