fetched_at_utc,category_key,category_label,rank,player_name,player_id,profile_url,image_url,rating,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,metric_4_name,metric_4_value,metric_5_name,metric_5_value,metric_6_name,metric_6_value,metrics_json
2026-02-13T07:30:35.642826Z,return,Return,1,Iva Jovic,332285,https://www.wtatennis.com/players/332285/iva-jovic,https://photoresources.wtatennis.com/wta/photo/2025/03/10/c5a7395c-c1eb-4a45-80fe-5539aa27c10e/Jovic-Torso_332285.png,87.9,1st Return Points Won %,43.2%,2nd Return Points Won %,59.9%,Break Points Converted %,54.5%,Return Games Won %,50.0%,Return Points Won %,49.7%,,,"{""category"": ""return"", ""player_rank"": 20, ""match_count"": 14, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 43.2, ""raw_display"": ""43.2%"", ""normalized"": 88.6, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 23.0, ""max"": 45.8, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 59.9, ""raw_display"": ""59.9%"", ""normalized"": 81.91, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.5, ""max"": 63.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 54.5, ""raw_display"": ""54.5%"", ""normalized"": 74.44, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 28.0, ""max"": 63.6, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 50.0, ""raw_display"": ""50.0%"", ""normalized"": 96.79, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 13.8, ""max"": 51.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 49.7, ""raw_display"": ""49.7%"", ""normalized"": 100.0, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 34.4, ""max"": 49.7, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-13T07:30:35.642826Z,return,Return,2,Belinda Bencic,319001,https://www.wtatennis.com/players/319001/belinda-bencic,https://photoresources.wtatennis.com/wta/photo/2025/03/10/5148518c-34b9-45d0-a2bb-47a57c41f84e/Bencic-Torso_319001.png,85.9,1st Return Points Won %,42.1%,2nd Return Points Won %,61.2%,Break Points Converted %,52.2%,Return Games Won %,47.4%,Return Points Won %,49.7%,,,"{""category"": ""return"", ""player_rank"": 11, ""match_count"": 7, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 42.1, ""raw_display"": ""42.1%"", ""normalized"": 83.77, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 23.0, ""max"": 45.8, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 61.2, ""raw_display"": ""61.2%"", ""normalized"": 88.83, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.5, ""max"": 63.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 52.2, ""raw_display"": ""52.2%"", ""normalized"": 67.98, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 28.0, ""max"": 63.6, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 47.4, ""raw_display"": ""47.4%"", ""normalized"": 89.84, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 13.8, ""max"": 51.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 49.7, ""raw_display"": ""49.7%"", ""normalized"": 100.0, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 34.4, ""max"": 49.7, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-13T07:30:35.642826Z,return,Return,3,Taylah Preston,330291,https://www.wtatennis.com/players/330291/taylah-preston,https://photoresources.wtatennis.com/wta/photo/2024/04/29/ac17c43c-e77f-4e87-bf5e-6c69de31a3c1/Preston-Torso_330291-WTA-Tennis.png,84.2,1st Return Points Won %,43.0%,2nd Return Points Won %,57.7%,Break Points Converted %,55.0%,Return Games Won %,49.3%,Return Points Won %,49.0%,,,"{""category"": ""return"", ""player_rank"": 151, ""match_count"": 6, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 43.0, ""raw_display"": ""43.0%"", ""normalized"": 87.72, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 23.0, ""max"": 45.8, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 57.7, ""raw_display"": ""57.7%"", ""normalized"": 70.21, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.5, ""max"": 63.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 55.0, ""raw_display"": ""55.0%"", ""normalized"": 75.84, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 28.0, ""max"": 63.6, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 49.3, ""raw_display"": ""49.3%"", ""normalized"": 94.92, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 13.8, ""max"": 51.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 49.0, ""raw_display"": ""49.0%"", ""normalized"": 95.42, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 34.4, ""max"": 49.7, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-13T07:30:35.642826Z,return,Return,4,Emma Raducanu,328366,https://www.wtatennis.com/players/328366/emma-raducanu,https://photoresources.wtatennis.com/wta/photo/2024/05/01/e55c6095-bd04-4904-98be-a7911f3bc918/Raducanu-Torso_328366-WTA-Tennis.png,81.8,1st Return Points Won %,39.7%,2nd Return Points Won %,63.3%,Break Points Converted %,52.4%,Return Games Won %,43.9%,Return Points Won %,47.5%,,,"{""category"": ""return"", ""player_rank"": 25, ""match_count"": 10, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 39.7, ""raw_display"": ""39.7%"", ""normalized"": 73.25, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 23.0, ""max"": 45.8, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 63.3, ""raw_display"": ""63.3%"", ""normalized"": 100.0, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.5, ""max"": 63.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 52.4, ""raw_display"": ""52.4%"", ""normalized"": 68.54, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 28.0, ""max"": 63.6, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 43.9, ""raw_display"": ""43.9%"", ""normalized"": 80.48, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 13.8, ""max"": 51.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 47.5, ""raw_display"": ""47.5%"", ""normalized"": 85.62, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 34.4, ""max"": 49.7, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-13T07:30:35.642826Z,return,Return,5,Elina Svitolina,316738,https://www.wtatennis.com/players/316738/elina-svitolina,https://photoresources.wtatennis.com/wta/photo/2025/03/10/b58d38b6-ab58-4061-b189-19cbcdd4e53e/Svitolina-Torso_316738.png,81.4,1st Return Points Won %,40.2%,2nd Return Points Won %,59.9%,Break Points Converted %,58.3%,Return Games Won %,44.5%,Return Points Won %,47.1%,,,"{""category"": ""return"", ""player_rank"": 9, ""match_count"": 11, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 40.2, ""raw_display"": ""40.2%"", ""normalized"": 75.44, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 23.0, ""max"": 45.8, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 59.9, ""raw_display"": ""59.9%"", ""normalized"": 81.91, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.5, ""max"": 63.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 58.3, ""raw_display"": ""58.3%"", ""normalized"": 85.11, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 28.0, ""max"": 63.6, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 44.5, ""raw_display"": ""44.5%"", ""normalized"": 82.09, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 13.8, ""max"": 51.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 47.1, ""raw_display"": ""47.1%"", ""normalized"": 83.01, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 34.4, ""max"": 49.7, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-13T07:30:35.642826Z,return,Return,6,Anna Kalinskaya,323942,https://www.wtatennis.com/players/323942/anna-kalinskaya,https://photoresources.wtatennis.com/wta/photo/2025/03/10/d69936b0-5fc4-4979-8c38-d46b7f5b38f4/Kalinskaya-Torso_323942.png,80.7,1st Return Points Won %,38.3%,2nd Return Points Won %,60.8%,Break Points Converted %,57.9%,Return Games Won %,45.2%,Return Points Won %,47.1%,,,"{""category"": ""return"", ""player_rank"": 28, ""match_count"": 7, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 38.3, ""raw_display"": ""38.3%"", ""normalized"": 67.11, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 23.0, ""max"": 45.8, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 60.8, ""raw_display"": ""60.8%"", ""normalized"": 86.7, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.5, ""max"": 63.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 57.9, ""raw_display"": ""57.9%"", ""normalized"": 83.99, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 28.0, ""max"": 63.6, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 45.2, ""raw_display"": ""45.2%"", ""normalized"": 83.96, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 13.8, ""max"": 51.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 47.1, ""raw_display"": ""47.1%"", ""normalized"": 83.01, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 34.4, ""max"": 49.7, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-13T07:30:35.642826Z,return,Return,7,Antonia Ruzic,329505,https://www.wtatennis.com/players/329505/antonia-ruzic,https://photoresources.wtatennis.com/wta/photo/2025/09/26/0b986ba7-4f7a-4022-9cfc-6efbfdd0b2cf/Ruzic-Torso_329505.png,79.2,1st Return Points Won %,41.7%,2nd Return Points Won %,55.6%,Break Points Converted %,63.6%,Return Games Won %,42.4%,Return Points Won %,46.6%,,,"{""category"": ""return"", ""player_rank"": 66, ""match_count"": 6, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 41.7, ""raw_display"": ""41.7%"", ""normalized"": 82.02, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 23.0, ""max"": 45.8, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 55.6, ""raw_display"": ""55.6%"", ""normalized"": 59.04, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.5, ""max"": 63.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 63.6, ""raw_display"": ""63.6%"", ""normalized"": 100.0, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 28.0, ""max"": 63.6, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 42.4, ""raw_display"": ""42.4%"", ""normalized"": 76.47, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 13.8, ""max"": 51.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 46.6, ""raw_display"": ""46.6%"", ""normalized"": 79.74, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 34.4, ""max"": 49.7, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-13T07:30:35.642826Z,return,Return,8,Sara Bejlek,330375,https://www.wtatennis.com/players/330375/sara-bejlek,https://photoresources.wtatennis.com/wta/photo/2022/10/11/db08cf6d-e28a-497d-a601-1d6abb8245ff/Bejlek_Crop.jpg,77.7,1st Return Points Won %,42.8%,2nd Return Points Won %,59.3%,Break Points Converted %,44.9%,Return Games Won %,44.9%,Return Points Won %,48.5%,,,"{""category"": ""return"", ""player_rank"": 38, ""match_count"": 8, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 42.8, ""raw_display"": ""42.8%"", ""normalized"": 86.84, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 23.0, ""max"": 45.8, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 59.3, ""raw_display"": ""59.3%"", ""normalized"": 78.72, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.5, ""max"": 63.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 44.9, ""raw_display"": ""44.9%"", ""normalized"": 47.47, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 28.0, ""max"": 63.6, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 44.9, ""raw_display"": ""44.9%"", ""normalized"": 83.16, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 13.8, ""max"": 51.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 48.5, ""raw_display"": ""48.5%"", ""normalized"": 92.16, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 34.4, ""max"": 49.7, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-13T07:30:35.642826Z,return,Return,9,Iga Swiatek,326408,https://www.wtatennis.com/players/326408/iga-swiatek,https://photoresources.wtatennis.com/wta/photo/2025/04/14/86a49ba8-7183-44c4-afd1-a3cd35a9fa4f/Swiatek-Torso_326408.png,75.1,1st Return Points Won %,41.3%,2nd Return Points Won %,57.5%,Break Points Converted %,50.0%,Return Games Won %,44.8%,Return Points Won %,47.1%,,,"{""category"": ""return"", ""player_rank"": 2, ""match_count"": 10, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 41.3, ""raw_display"": ""41.3%"", ""normalized"": 80.26, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 23.0, ""max"": 45.8, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 57.5, ""raw_display"": ""57.5%"", ""normalized"": 69.15, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.5, ""max"": 63.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 50.0, ""raw_display"": ""50.0%"", ""normalized"": 61.8, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 28.0, ""max"": 63.6, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 44.8, ""raw_display"": ""44.8%"", ""normalized"": 82.89, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 13.8, ""max"": 51.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 47.1, ""raw_display"": ""47.1%"", ""normalized"": 83.01, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 34.4, ""max"": 49.7, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-02-13T07:30:35.642826Z,return,Return,10,Jasmine Paolini,319280,https://www.wtatennis.com/players/319280/jasmine-paolini,https://photoresources.wtatennis.com/wta/photo/2025/03/10/d1b8e1a1-8a44-47e2-baf6-f10b225b9374/Paolini-Torso_319280.png,75.0,1st Return Points Won %,45.8%,2nd Return Points Won %,52.2%,Break Points Converted %,45.8%,Return Games Won %,51.2%,Return Points Won %,48.2%,,,"{""category"": ""return"", ""player_rank"": 8, ""match_count"": 5, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 45.8, ""raw_display"": ""45.8%"", ""normalized"": 100.0, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 23.0, ""max"": 45.8, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 52.2, ""raw_display"": ""52.2%"", ""normalized"": 40.96, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.5, ""max"": 63.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 45.8, ""raw_display"": ""45.8%"", ""normalized"": 50.0, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 28.0, ""max"": 63.6, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 51.2, ""raw_display"": ""51.2%"", ""normalized"": 100.0, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 13.8, ""max"": 51.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 48.2, ""raw_display"": ""48.2%"", ""normalized"": 90.2, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 34.4, ""max"": 49.7, ""lower_is_better"": false, ""is_percent"": true}]}"
