fetched_at_utc,category_key,category_label,rank,player_name,player_id,profile_url,image_url,rating,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,metric_4_name,metric_4_value,metric_5_name,metric_5_value,metric_6_name,metric_6_value,metrics_json
2026-03-07T08:04:19.660159Z,return,Return,1,Daria Kasatkina,322082,https://www.wtatennis.com/players/322082/daria-kasatkina,https://photoresources.wtatennis.com/wta/photo/2025/03/10/f13278b9-1c1c-4484-9d06-5a997e4f4013/Kasatkina-Torso_322082.png,91.7,1st Return Points Won %,42.2%,2nd Return Points Won %,61.4%,Break Points Converted %,52.0%,Return Games Won %,48.1%,Return Points Won %,49.0%,,,"{""category"": ""return"", ""player_rank"": 60, ""match_count"": 9, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 42.2, ""raw_display"": ""42.2%"", ""normalized"": 90.78, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 22.5, ""max"": 44.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 61.4, ""raw_display"": ""61.4%"", ""normalized"": 97.18, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.2, ""max"": 61.9, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 52.0, ""raw_display"": ""52.0%"", ""normalized"": 77.69, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 21.7, ""max"": 60.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 48.1, ""raw_display"": ""48.1%"", ""normalized"": 96.93, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 10.2, ""max"": 49.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 49.0, ""raw_display"": ""49.0%"", ""normalized"": 96.32, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 33.3, ""max"": 49.6, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-03-07T08:04:19.660159Z,return,Return,2,Taylah Preston,330291,https://www.wtatennis.com/players/330291/taylah-preston,https://photoresources.wtatennis.com/wta/photo/2024/04/29/ac17c43c-e77f-4e87-bf5e-6c69de31a3c1/Preston-Torso_330291-WTA-Tennis.png,89.9,1st Return Points Won %,43.0%,2nd Return Points Won %,57.7%,Break Points Converted %,55.0%,Return Games Won %,49.3%,Return Points Won %,49.0%,,,"{""category"": ""return"", ""player_rank"": 149, ""match_count"": 6, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 43.0, ""raw_display"": ""43.0%"", ""normalized"": 94.47, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 22.5, ""max"": 44.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 57.7, ""raw_display"": ""57.7%"", ""normalized"": 76.27, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.2, ""max"": 61.9, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 55.0, ""raw_display"": ""55.0%"", ""normalized"": 85.38, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 21.7, ""max"": 60.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 49.3, ""raw_display"": ""49.3%"", ""normalized"": 100.0, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 10.2, ""max"": 49.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 49.0, ""raw_display"": ""49.0%"", ""normalized"": 96.32, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 33.3, ""max"": 49.6, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-03-07T08:04:19.660159Z,return,Return,3,Sara Bejlek,330375,https://www.wtatennis.com/players/330375/sara-bejlek,https://photoresources.wtatennis.com/wta/photo/2022/10/11/db08cf6d-e28a-497d-a601-1d6abb8245ff/Bejlek_Crop.jpg,89.7,1st Return Points Won %,43.7%,2nd Return Points Won %,60.4%,Break Points Converted %,46.6%,Return Games Won %,47.7%,Return Points Won %,49.6%,,,"{""category"": ""return"", ""player_rank"": 40, ""match_count"": 9, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 43.7, ""raw_display"": ""43.7%"", ""normalized"": 97.7, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 22.5, ""max"": 44.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 60.4, ""raw_display"": ""60.4%"", ""normalized"": 91.53, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.2, ""max"": 61.9, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 46.6, ""raw_display"": ""46.6%"", ""normalized"": 63.85, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 21.7, ""max"": 60.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 47.7, ""raw_display"": ""47.7%"", ""normalized"": 95.91, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 10.2, ""max"": 49.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 49.6, ""raw_display"": ""49.6%"", ""normalized"": 100.0, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 33.3, ""max"": 49.6, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-03-07T08:04:19.660159Z,return,Return,4,Iga Swiatek,326408,https://www.wtatennis.com/players/326408/iga-swiatek,https://photoresources.wtatennis.com/wta/photo/2025/04/14/86a49ba8-7183-44c4-afd1-a3cd35a9fa4f/Swiatek-Torso_326408.png,86.3,1st Return Points Won %,41.2%,2nd Return Points Won %,60.5%,Break Points Converted %,49.2%,Return Games Won %,46.6%,Return Points Won %,48.0%,,,"{""category"": ""return"", ""player_rank"": 2, ""match_count"": 13, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 41.2, ""raw_display"": ""41.2%"", ""normalized"": 86.18, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 22.5, ""max"": 44.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 60.5, ""raw_display"": ""60.5%"", ""normalized"": 92.09, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.2, ""max"": 61.9, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 49.2, ""raw_display"": ""49.2%"", ""normalized"": 70.51, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 21.7, ""max"": 60.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 46.6, ""raw_display"": ""46.6%"", ""normalized"": 93.09, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 10.2, ""max"": 49.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 48.0, ""raw_display"": ""48.0%"", ""normalized"": 90.18, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 33.3, ""max"": 49.6, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-03-07T08:04:19.660159Z,return,Return,5,Katie Boulter,319125,https://www.wtatennis.com/players/319125/katie-boulter,https://photoresources.wtatennis.com/wta/photo/2025/03/10/946d19c1-7cd7-49ed-b06b-310ced76ac17/Boulter-Torso_319125.png,86.3,1st Return Points Won %,42.8%,2nd Return Points Won %,56.9%,Break Points Converted %,53.6%,Return Games Won %,48.1%,Return Points Won %,48.0%,,,"{""category"": ""return"", ""player_rank"": 64, ""match_count"": 11, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 42.8, ""raw_display"": ""42.8%"", ""normalized"": 93.55, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 22.5, ""max"": 44.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 56.9, ""raw_display"": ""56.9%"", ""normalized"": 71.75, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.2, ""max"": 61.9, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 53.6, ""raw_display"": ""53.6%"", ""normalized"": 81.79, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 21.7, ""max"": 60.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 48.1, ""raw_display"": ""48.1%"", ""normalized"": 96.93, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 10.2, ""max"": 49.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 48.0, ""raw_display"": ""48.0%"", ""normalized"": 90.18, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 33.3, ""max"": 49.6, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-03-07T08:04:19.660159Z,return,Return,6,Belinda Bencic,319001,https://www.wtatennis.com/players/319001/belinda-bencic,https://photoresources.wtatennis.com/wta/photo/2025/03/10/5148518c-34b9-45d0-a2bb-47a57c41f84e/Bencic-Torso_319001.png,85.3,1st Return Points Won %,38.8%,2nd Return Points Won %,61.9%,Break Points Converted %,51.2%,Return Games Won %,44.0%,Return Points Won %,47.8%,,,"{""category"": ""return"", ""player_rank"": 12, ""match_count"": 9, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 38.8, ""raw_display"": ""38.8%"", ""normalized"": 75.12, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 22.5, ""max"": 44.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 61.9, ""raw_display"": ""61.9%"", ""normalized"": 100.0, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.2, ""max"": 61.9, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 51.2, ""raw_display"": ""51.2%"", ""normalized"": 75.64, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 21.7, ""max"": 60.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 44.0, ""raw_display"": ""44.0%"", ""normalized"": 86.45, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 10.2, ""max"": 49.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 47.8, ""raw_display"": ""47.8%"", ""normalized"": 88.96, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 33.3, ""max"": 49.6, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-03-07T08:04:19.660159Z,return,Return,7,Mirra Andreeva,331809,https://www.wtatennis.com/players/331809/mirra-andreeva,https://photoresources.wtatennis.com/wta/photo/2025/03/10/dcaa6b5a-844c-4994-9e38-980977898290/Andreeva-Torso_331809.png,84.2,1st Return Points Won %,44.2%,2nd Return Points Won %,55.8%,Break Points Converted %,50.0%,Return Games Won %,46.3%,Return Points Won %,48.4%,,,"{""category"": ""return"", ""player_rank"": 8, ""match_count"": 15, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 44.2, ""raw_display"": ""44.2%"", ""normalized"": 100.0, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 22.5, ""max"": 44.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 55.8, ""raw_display"": ""55.8%"", ""normalized"": 65.54, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.2, ""max"": 61.9, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 50.0, ""raw_display"": ""50.0%"", ""normalized"": 72.56, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 21.7, ""max"": 60.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 46.3, ""raw_display"": ""46.3%"", ""normalized"": 92.33, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 10.2, ""max"": 49.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 48.4, ""raw_display"": ""48.4%"", ""normalized"": 92.64, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 33.3, ""max"": 49.6, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-03-07T08:04:19.660159Z,return,Return,8,Elina Svitolina,316738,https://www.wtatennis.com/players/316738/elina-svitolina,https://photoresources.wtatennis.com/wta/photo/2025/03/10/b58d38b6-ab58-4061-b189-19cbcdd4e53e/Svitolina-Torso_316738.png,80.5,1st Return Points Won %,39.7%,2nd Return Points Won %,57.3%,Break Points Converted %,57.0%,Return Games Won %,41.8%,Return Points Won %,46.1%,,,"{""category"": ""return"", ""player_rank"": 9, ""match_count"": 18, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 39.7, ""raw_display"": ""39.7%"", ""normalized"": 79.26, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 22.5, ""max"": 44.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 57.3, ""raw_display"": ""57.3%"", ""normalized"": 74.01, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.2, ""max"": 61.9, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 57.0, ""raw_display"": ""57.0%"", ""normalized"": 90.51, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 21.7, ""max"": 60.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 41.8, ""raw_display"": ""41.8%"", ""normalized"": 80.82, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 10.2, ""max"": 49.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 46.1, ""raw_display"": ""46.1%"", ""normalized"": 78.53, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 33.3, ""max"": 49.6, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-03-07T08:04:19.660159Z,return,Return,9,Iva Jovic,332285,https://www.wtatennis.com/players/332285/iva-jovic,https://photoresources.wtatennis.com/wta/photo/2025/03/10/c5a7395c-c1eb-4a45-80fe-5539aa27c10e/Jovic-Torso_332285.png,79.9,1st Return Points Won %,40.7%,2nd Return Points Won %,57.1%,Break Points Converted %,51.9%,Return Games Won %,42.8%,Return Points Won %,46.8%,,,"{""category"": ""return"", ""player_rank"": 18, ""match_count"": 19, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 40.7, ""raw_display"": ""40.7%"", ""normalized"": 83.87, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 22.5, ""max"": 44.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 57.1, ""raw_display"": ""57.1%"", ""normalized"": 72.88, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.2, ""max"": 61.9, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 51.9, ""raw_display"": ""51.9%"", ""normalized"": 77.44, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 21.7, ""max"": 60.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 42.8, ""raw_display"": ""42.8%"", ""normalized"": 83.38, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 10.2, ""max"": 49.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 46.8, ""raw_display"": ""46.8%"", ""normalized"": 82.82, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 33.3, ""max"": 49.6, ""lower_is_better"": false, ""is_percent"": true}]}"
2026-03-07T08:04:19.660159Z,return,Return,10,Elise Mertens,317964,https://www.wtatennis.com/players/317964/elise-mertens,https://photoresources.wtatennis.com/wta/photo/2025/06/20/2f3e5e2d-297a-4467-983c-ff89c75af905/Mertens-Torso_317964.png,79.4,1st Return Points Won %,36.8%,2nd Return Points Won %,59.7%,Break Points Converted %,53.9%,Return Games Won %,41.7%,Return Points Won %,46.5%,,,"{""category"": ""return"", ""player_rank"": 21, ""match_count"": 13, ""formula"": ""normalized_score = Σ(metric_norm × weight)"", ""metrics"": [{""key"": ""first_return_percent"", ""name"": ""1st Return Points Won %"", ""raw"": 36.8, ""raw_display"": ""36.8%"", ""normalized"": 65.9, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 22.5, ""max"": 44.2, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""second_return_percent"", ""name"": ""2nd Return Points Won %"", ""raw"": 59.7, ""raw_display"": ""59.7%"", ""normalized"": 87.57, ""weight"": 0.22, ""weight_pct"": 22.0, ""min"": 44.2, ""max"": 61.9, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""breakpoint_converted_percent"", ""name"": ""Break Points Converted %"", ""raw"": 53.9, ""raw_display"": ""53.9%"", ""normalized"": 82.56, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 21.7, ""max"": 60.7, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_games_won_percent"", ""name"": ""Return Games Won %"", ""raw"": 41.7, ""raw_display"": ""41.7%"", ""normalized"": 80.56, ""weight"": 0.16, ""weight_pct"": 16.0, ""min"": 10.2, ""max"": 49.3, ""lower_is_better"": false, ""is_percent"": true}, {""key"": ""return_points_won_percent"", ""name"": ""Return Points Won %"", ""raw"": 46.5, ""raw_display"": ""46.5%"", ""normalized"": 80.98, ""weight"": 0.2, ""weight_pct"": 20.0, ""min"": 33.3, ""max"": 49.6, ""lower_is_better"": false, ""is_percent"": true}]}"
