tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-auckland,Auckland,Hard,,I,20241229,1,615524,,,Nao Hibino,,,,,534672,,,Jule Niemeier,,,,,6-3 6-4,3,R32,,3,4,,,,,,,,2,5,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,2,359411,,,Clara Tauson,,,,,647835,,,Lucrezia Stefanini,,,,,6-2 6-3,3,R32,,5,4,,,,,,,,0,4,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,3,675084,,,Rebecca Marino,,,,,460138,,,Lulu Sun,,,,,6-3 3-6 6-3,3,R32,,7,6,,,,,,,,5,4,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,4,557676,,,Bernarda Pera,,,,,199960,,,Victoria Jimenez Kasintseva,,,,,6-2 7-5,3,R32,,4,1,,,,,,,,3,5,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,5,714334,,,Naomi Osaka,,,,,863771,,,Lina Glushko,,,,,6-4 6-4,3,R32,,7,4,,,,,,,,3,4,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,6,346262,,,Julia Grabher,,,,,275150,,,Leyre Romero Gormaz,,,,,2-6 6-3 7-6,3,R32,,2,3,,,,,,,,6,10,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,7,619460,,,Ann Li,,,,,441252,,,Sloane Stephens,,,,,5-7 6-4 6-4,3,R32,,2,1,,,,,,,,2,1,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,8,421894,,,Katie Volynets,,,,,303568,,,Erika Andreeva,,,,,6-4 6-7 6-2,3,R32,,1,0,,,,,,,,1,3,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,9,549141,,,Sofia Kenin,,,,,674631,,,Xinyu Wang,,,,,7-6 6-1,3,R32,,0,3,,,,,,,,8,4,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,10,885728,,,Jaqueline  Cristian,,,,,976242,,,Yuliia Starodubtseva,,,,,6-3 2-0,3,R32,,3,2,,,,,,,,0,4,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,11,987862,,,Hailey Baptiste,,,,,435950,,,Renata Jamrichova,,,,,6-0 6-2,3,R32,,3,1,,,,,,,,1,11,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,12,731934,,,Madison Keys,,,,,152800,,,Lucia Bronzetti,,,,,6-4 6-4,3,R32,,4,1,,,,,,,,0,2,,,,,,,,,,,
2025-auckland,Auckland,Hard,,I,20241229,13,460146,,,Greet Minnen,,,,,909013,,,Anna-Lena Friedsam,,,,,6-4 6-0,3,R32,,1,5,,,,,,,,1,2,,,,,,,,,,,
